id,device_name,lat,long,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time
235733,TARA041,28.563025,77.211014,34.6,46.8,48.0,0.94,,,25.2,72.0,2024-06-24 02:26:00+00:00
244554,TARA014,0.150000,0.150000,45.9,48.4,43.3,,791.0,,24.9,65.0,2024-06-25 06:13:00+00:00
248082,TARA054,NA,NA,27.1,37.9,55.0,1.61,,,28.0,61.0,2024-06-26 01:44:00+00:00
251610,TARA020,28.465366,77.053947,117.4,200.1,51.1,1.54,,,37.3,51.0,2024-06-26 17:57:00+00:00
260430,TARA044,28.440153,77.035553,39.6,63.5,83.2,0.75,,,35.5,54.0,2024-06-27 19:47:00+00:00
262194,TARA020,28.465279,77.053947,78.3,109.6,45.0,1.68,,,33.8,61.0,2024-06-27 23:11:00+00:00
263958,TARA054,28.394268,77.030434,85.3,115.3,49.0,0.86,,,33.6,65.0,2024-06-28 02:28:00+00:00
265721,TARA071,28.424158,77.089401,46.7,63.7,28.0,1.1,,,33.7,60.0,2024-06-28 05:39:00+00:00
267483,TARA011,28.425989,77.020523,25.9,35.0,36.9,,542.0,,31.1,70.0,2024-06-28 08:50:00+00:00
237498,TARA041,28.563025,77.211014,50.6,53.0,50.8,0.9,,,24.2,68.0,2024-06-24 08:34:00+00:00
241026,TARA023,NA,NA,61.1,87.5,22.2,1.55,,,24.3,62.0,2024-06-24 22:00:00+00:00
242791,TARA014,0.150000,0.150000,60.2,65.1,19.8,,808.0,,25.1,64.0,2024-06-25 02:16:00+00:00
255139,TARA008,28.562674,77.211166,50.2,67.8,34.1,,,,27.2,72.0,2024-06-27 07:09:00+00:00
258667,TARA044,28.440218,77.035507,26.4,26.4,0.9,0.17,,,39.3,43.0,2024-06-27 16:17:00+00:00
262195,TARA071,28.424221,77.089470,47.0,78.3,45.0,1.7,,,36.8,50.0,2024-06-27 23:12:00+00:00
263959,TARA044,28.440226,77.035408,106.5,143.9,50.2,0.87,,,33.8,66.0,2024-06-28 02:27:00+00:00
232207,TARA020,NA,NA,128.8,174.1,31.7,0.23,,,26.8,81.0,2024-06-23 16:53:00+00:00
244556,TARA020,28.562857,77.211105,39.4,82.4,26.8,0.77,,,24.2,67.0,2024-06-25 06:12:00+00:00
258668,TARA023,28.427767,77.032532,30.1,54.0,6.9,0.25,,,40.6,38.0,2024-06-27 16:17:00+00:00
260432,TARA023,28.396883,77.072205,29.7,40.5,43.1,0.82,,,37.9,30.0,2024-06-27 19:47:00+00:00
265723,TARA011,28.425798,77.020447,25.9,35.0,40.0,,547.0,,31.9,72.0,2024-06-28 05:37:00+00:00
232208,TARA041,NA,NA,137.3,185.5,31.1,0.26,,,26.9,82.0,2024-06-23 16:54:00+00:00
235736,TARA020,28.563099,77.211060,66.0,70.9,48.1,0.93,,,25.6,67.0,2024-06-24 02:26:00+00:00
242793,TARA020,NA,NA,60.2,65.2,48.0,0.93,,,24.6,65.0,2024-06-25 02:15:00+00:00
244557,TARA023,NA,NA,49.4,73.4,25.5,0.79,,,24.1,68.0,2024-06-25 06:13:00+00:00
248085,TARA014,NA,NA,26.0,39.2,10.0,,,,27.4,64.0,2024-06-26 01:44:00+00:00
253377,TARA020,28.465332,77.053963,106.9,146.5,56.1,0.92,,,33.2,59.0,2024-06-27 01:09:00+00:00
258669,TARA020,28.465347,77.053909,33.5,36.0,27.0,0.2,,,38.7,42.0,2024-06-27 16:17:00+00:00
260433,TARA020,28.465347,77.053909,47.2,78.5,98.7,0.76,,,34.6,55.0,2024-06-27 19:47:00+00:00
263961,TARA020,28.465342,77.053864,102.8,139.0,50.0,0.91,,,33.3,65.0,2024-06-28 02:27:00+00:00
267486,TARA054,28.394320,77.030449,37.2,50.2,0.0,0.84,,,29.1,79.0,2024-06-28 08:52:00+00:00
241029,TARA036,NA,NA,345.7,403.1,23.5,1.99,,,25.6,58.0,2024-06-24 22:01:00+00:00
251614,TARA020,28.465366,77.053947,117.4,200.1,51.1,1.76,,,37.3,51.0,2024-06-26 17:58:00+00:00
255142,TARA020,28.465324,77.053917,88.2,119.3,34.5,0.73,,,32.8,67.0,2024-06-27 07:10:00+00:00
256906,TARA023,28.424341,77.089378,32.8,44.3,29.7,1.1,,,36.0,52.0,2024-06-27 12:50:00+00:00
258670,TARA033,28.425613,77.020615,47.5,71.4,1.7,0.11,,,42.9,38.0,2024-06-27 16:17:00+00:00
