id,device_name,lat,long,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time
292760,TARA078,28.401808,77.005356,85.2,115.1,0.0,0.97,,,31.9,70.0,2024-07-01 00:00:00+00:00
292772,TARA078,28.401808,77.005356,85.2,115.1,0.0,1.68,,,31.9,70.0,2024-07-01 00:02:00+00:00
292779,TARA078,28.401787,77.005356,72.6,98.1,0.0,1.68,,,31.8,70.0,2024-07-01 00:03:00+00:00
292818,TARA078,28.401787,77.005356,72.6,98.1,0.0,0.91,,,31.9,70.0,2024-07-01 00:09:00+00:00
292824,TARA078,28.401787,77.005356,50.5,68.2,0.0,0.91,,,31.9,70.0,2024-07-01 00:10:00+00:00
292835,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,70.0,2024-07-01 00:12:00+00:00
292841,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,70.0,2024-07-01 00:13:00+00:00
292848,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,70.0,2024-07-01 00:14:00+00:00
292855,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,70.0,2024-07-01 00:15:00+00:00
292861,TARA078,28.401787,77.005356,50.5,68.2,0.0,0.93,,,31.9,70.0,2024-07-01 00:16:00+00:00
292889,TARA078,28.401787,77.005356,50.5,68.2,0.0,0.91,,,31.9,70.0,2024-07-01 00:20:00+00:00
292896,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,71.0,2024-07-01 00:21:00+00:00
292920,TARA078,28.401787,77.005356,50.5,68.2,0.0,1.68,,,31.9,71.0,2024-07-01 00:25:00+00:00
292955,TARA078,28.401787,77.005356,50.5,68.2,0.0,0.93,,,31.9,71.0,2024-07-01 00:30:00+00:00
292984,TARA078,28.401772,77.005379,68.5,92.6,0.0,1.68,,,31.9,71.0,2024-07-01 00:36:00+00:00
292990,TARA078,28.401772,77.005379,68.5,92.6,0.0,1.68,,,31.9,71.0,2024-07-01 00:37:00+00:00
292997,TARA078,28.401772,77.005379,68.5,92.6,0.0,0.94,,,31.9,72.0,2024-07-01 00:38:00+00:00
293011,TARA078,28.401772,77.005379,67.6,91.3,0.0,0.94,,,31.9,72.0,2024-07-01 00:40:00+00:00
293043,TARA078,28.401772,77.005379,67.6,91.3,0.0,1.68,,,31.9,72.0,2024-07-01 00:45:00+00:00
293068,TARA078,28.401772,77.005379,75.3,101.8,0.0,0.92,,,31.9,72.0,2024-07-01 00:50:00+00:00
293082,TARA078,28.401772,77.005379,75.3,101.8,0.0,1.68,,,31.9,72.0,2024-07-01 00:52:00+00:00
