id,location,lat,long,description,category,created_at,image_filename,user,data_id
97,Patna,25.5946026,85.1301013,Less traffic,Vehicle Pollution,2024-07-15 14:48:30.269727+00,,person 3,449529
98,Patna,25.6052891,85.1377248,Too much traffic ,Vehicle Pollution,2024-07-15 14:50:23.223294+00,,person 4,449611
99,Patna,25.6052634,85.1377569,Current data from patna junction,Vehicle Pollution,2024-07-15 14:51:12.752835+00,,person 27,449602
100,Patna,25.6052888,85.1381756,Near Buddha Smriti park,Vehicle Pollution,2024-07-15 14:54:50.717485+00,,person 4,449744
101,Patna,25.59579341,85.13036372,Less traffic,Vehicle Pollution,2024-07-15 14:55:38.794937+00,,person 3,449793
102,Rajendra Nagar,25.6023787,85.1606328,Near commerce college ,Vehicle Pollution,2024-07-15 15:10:38.137361+00,,person 4,450276
103,Rajendra Nagar,25.6025687,85.1611955,Rajendra nagar metro construction ,Construction & Demolition Waste,2024-07-15 15:14:22.193224+00,1000042744.jpg,person 27,450333
104,Rajendra Nagar,25.5959225,85.1732255,Room ,Vehicle Pollution,2024-07-15 15:47:19.284056+00,,person 4,451014
105,Rajendra Nagar,25.5960912,85.173213,Bhoothnath ,Vehicle Pollution,2024-07-15 17:38:39.322694+00,,person 4,452623
106,Rajendra Nagar,25.59516443,85.17285258,Morning vibes of patna ,Industrial Pollution,2024-07-16 00:33:11.07158+00,1000122986.jpg,person 4,457958
107,Rajendra Nagar,25.5965212,85.1731167,Morning observation,Vehicle Pollution,2024-07-16 00:55:09.285527+00,,person 27,458277
108,Patna,25.6269211,85.1006271,"Residential waste  PM 10 - 46.4 ,PM 2.5 - 34.3, CO2- 62 , NO2 42.171",Waste Burning,2024-07-16 01:31:07.673178+00,IMG_20240716_065424.jpg,person 6,458772
109,Patna,25.6273332,85.1005683,"Residential Area, Indrapuri Road no- 3B",Brick Kilns,2024-07-16 01:41:57.198161+00,IMG_20240716_070751.jpg,person 6,458928
110,Rajendra Nagar,25.5963811,85.1744903,Smoke,Waste Burning,2024-07-16 02:05:37.028111+00,1000122995.jpg,person 4,459293
111,Rajendra Nagar,25.59339783,85.17394654,Smoke,Waste Burning,2024-07-16 02:08:34.5009+00,1000042772.jpg,person 27,459331
112,Patna,25.5990693,85.1278249,"Vegetable market, mithapur",Vehicle Pollution,2024-07-16 04:29:41.786654+00,1000129379.jpg,person 3,461492
113,Patna,25.5979998,85.1273449,Residents,Vehicle Pollution,2024-07-16 04:37:00.899818+00,,person 3,461527
114,Patna,25.6244635,85.1103002,"Alpana market patliputra, boring road road due to vehicle pollution ",Vehicle Pollution,2024-07-16 04:59:56.105873+00,1000147474.jpg,person 24,461996
115,Patna,25.6223208,85.1103825,"AN path , boring road ",Vehicle Pollution,2024-07-16 05:15:07.00298+00,1000147475.jpg,person 24,462225
116,Rajendra Nagar,25.6110646,85.1763694,Garbage dumped site.,Waste Burning,2024-07-16 06:37:16.417445+00,1000140255.jpg,person 26,463960
117,Patna,25.5819615,85.190478,Dust,Industrial Pollution,2024-07-16 08:50:44.691065+00,1000123100.jpg,person 4,467152
118,Ranipur,25.5721251,85.2138155,Outside patna ,Industrial Pollution,2024-07-16 09:18:35.04109+00,1000123106.jpg,person 4,467802
119,Ranipur,25.5792725,85.2175409,Site construction ,Construction & Demolition Waste,2024-07-16 10:13:07.467899+00,1000123109.jpg,person 4,469081
120,Patna,25.615555,85.1148837,Check Post sk Puri boring road.,Vehicle Pollution,2024-07-16 11:01:53.894369+00,1000147504.jpg,person 24,470258
121,Ranipur,25.5763665,85.2084144,Clean area ,Construction & Demolition Waste,2024-07-16 11:03:42.175613+00,1000123119.jpg,person 4,470346
122,Patna,25.6196481,85.1100276,"Rajesh petrol pump an college main gate, boring road ",Vehicle Pollution,2024-07-16 11:32:01.048883+00,1000147507.jpg,person 24,471084
123,Patna,25.6173713,85.1127117,Shivpuri mandir,Vehicle Pollution,2024-07-16 11:32:04.002605+00,IMG_20240716_170025.jpg,person 6,471113
124,Patna,25.5818828,85.1910504,Pollution ,Vehicle Pollution,2024-07-16 11:44:32.569331+00,1000123126.jpg,person 4,471431
125,Patna,25.6163519,85.1123766,Sk hospital .oppt krishna apoartment,Vehicle Pollution,2024-07-16 11:50:58.60642+00,IMG_20240716_171311.jpg,person 6,471501
126,Patna,25.6222609,85.1102539,An path residential area boring road ,Waste Burning,2024-07-16 11:53:03.797274+00,1000147517.jpg,person 24,471626
127,Patna,25.5989509,85.1332812,Traffic,Vehicle Pollution,2024-07-16 12:16:29.26141+00,,person 3,472287
128,Patna,25.5992737,85.1340268,Before the traffic ,Vehicle Pollution,2024-07-16 12:17:50.173705+00,20240716_174613.jpg,person 19,464485
129,Patna,25.5993462,85.1340491,Evening traffick,Vehicle Pollution,2024-07-16 12:18:10.185345+00,,person 3,472319
130,Patna,25.5969149,85.132263,Busy area,Vehicle Pollution,2024-07-16 12:20:06.798742+00,20240716_174830.jpg,person 19,472355
131,Patna,25.5958338,85.1355682,Waste ,Waste Burning,2024-07-16 12:30:53.889204+00,1000129461.jpg,person 3,472678
132,Patna,25.5953716,85.1369393,Peak traffic hour,Vehicle Pollution,2024-07-16 12:36:42.152918+00,1000129462.jpg,person 3,472849
133,Patna,25.59625106,85.13679198,Pollution,Vehicle Pollution,2024-07-16 12:37:45.660003+00,1000129464.jpg,person 3,472878
134,Patna,25.59298908,85.13635533,Pollution,Vehicle Pollution,2024-07-16 12:56:38.09776+00,,person 3,473409
135,Patna,25.5955499,85.1369265,Before start of heavy traffic,Vehicle Pollution,2024-07-16 12:59:47.05143+00,20240716_182853.jpg,person 19,473482
136,Patna,25.6006631,85.1322193,Waste,Construction & Demolition Waste,2024-07-16 13:19:59.171389+00,1000129466.jpg,person 3,474050
137,Patna,25.618349,85.1085904,Shivpuri sbji mandi,Vehicle Pollution,2024-07-16 13:33:10.493942+00,IMG_20240716_190105.jpg,person 6,474427
138,Digha,25.6463711,85.0989477,"Marine drive  , Patna",Vehicle Pollution,2024-07-16 13:53:42.787764+00,IMG_20240716_192020.jpg,person 6,475006
139,Rajendra Nagar,25.59632238,85.16948143,Evening data around residential area,Vehicle Pollution,2024-07-16 14:09:50.255108+00,,person 27,475544
140,Sonepur,25.6932795,85.1740195,Marine drive,Vehicle Pollution,2024-07-16 14:14:03.36288+00,IMG_20240716_194148.jpg,person 6,475344
141,Rajendra Nagar,25.5967279,85.1747658,Traffic,Vehicle Pollution,2024-07-16 15:40:47.374383+00,,person 27,478147
142,Patna,25.59573169,85.12882414,Data,Vehicle Pollution,2024-07-16 16:13:21.321472+00,,person 3,479076
